iter	Passed	Remaining
543	3329	2790
544	3336	2785
545	3341	2778
546	3348	2773
547	3354	2767
548	3360	2760
549	3365	2753
550	3371	2746
551	3375	2739
552	3383	2734
553	3390	2729
554	3397	2723
555	3405	2719
556	3412	2714
557	3420	2709
558	3427	2703
559	3436	2700
560	3442	2693
561	3448	2687
562	3455	2682
563	3462	2676
564	3471	2672
565	3478	2667
566	3486	2662
567	3492	2656
568	3498	2650
569	3503	2643
570	3509	2636
571	3517	2632
572	3522	2624
573	3527	2618
574	3535	2613
575	3541	2607
576	3550	2602
577	3555	2595
578	3562	2590
579	3569	2584
580	3574	2578
581	3582	2572
582	3587	2565
583	3592	2559
584	3598	2552
585	3603	2546
586	3608	2539
587	3615	2533
588	3620	2526
589	3627	2520
590	3631	2513
591	3637	2506
592	3642	2499
593	3648	2493
594	3654	2487
595	3662	2482
596	3669	2477
597	3674	2470
598	3681	2464
599	3687	2458
600	3693	2451
601	3699	2445
602	3705	2439
603	3712	2433
604	3717	2426
605	3723	2420
606	3729	2414
607	3734	2407
608	3740	2401
609	3746	2395
610	3751	2388
611	3757	2381
612	3763	2375
613	3768	2368
614	3773	2362
615	3779	2356
616	3785	2349
617	3789	2342
618	3796	2336
619	3802	2330
620	3807	2323
621	3812	2316
622	3817	2310
623	3822	2303
624	3828	2297
625	3833	2290
626	3838	2283
627	3844	2277
628	3848	2270
629	3853	2263
630	3859	2257
631	3864	2250
632	3869	2243
633	3873	2236
634	3877	2228
635	3882	2222
636	3886	2214
637	3892	2208
638	3896	2201
639	3901	2194
640	3907	2188
641	3911	2181
642	3917	2174
643	3922	2168
644	3927	2161
645	3932	2155
646	3939	2149
647	3943	2142
648	3949	2135
649	3956	2130
650	3960	2123
651	3966	2117
652	3973	2111
653	3979	2105
654	3985	2099
655	3991	2093
656	3998	2087
657	4003	2081
658	4009	2074
659	4015	2068
660	4022	2063
661	4028	2057
662	4036	2051
663	4042	2045
664	4049	2039
665	4056	2034
666	4063	2028
667	4072	2023
668	4078	2018
669	4085	2012
670	4090	2005
671	4096	1999
672	4103	1993
673	4110	1988
674	4117	1982
675	4122	1975
676	4132	1971
677	4137	1964
678	4143	1959
679	4151	1953
680	4158	1947
681	4165	1942
682	4170	1935
683	4177	1929
684	4184	1924
685	4190	1917
686	4194	1911
687	4202	1905
688	4209	1900
689	4216	1894
690	4222	1888
691	4227	1881
692	4233	1875
693	4238	1868
694	4243	1862
695	4249	1856
696	4255	1849
697	4260	1843
698	4264	1836
699	4269	1829
700	4274	1823
701	4280	1817
702	4285	1810
703	4291	1804
704	4297	1798
705	4302	1791
706	4309	1785
707	4314	1779
708	4320	1773
709	4324	1766
710	4331	1760
711	4338	1755
712	4345	1749
713	4352	1743
714	4358	1737
715	4363	1730
716	4369	1724
717	4375	1718
718	4381	1712
719	4387	1706
720	4393	1699
721	4397	1693
722	4403	1687
723	4410	1681
724	4417	1675
725	4425	1670
726	4429	1663
727	4436	1657
728	4443	1651
729	4450	1646
730	4457	1640
731	4462	1633
732	4469	1628
733	4477	1622
734	4483	1616
735	4490	1610
736	4496	1604
737	4502	1598
738	4509	1592
739	4517	1587
740	4522	1580
741	4527	1574
742	4533	1567
743	4539	1562
744	4545	1555
745	4549	1549
746	4556	1543
747	4562	1537
748	4568	1530
749	4573	1524
750	4578	1518
751	4583	1511
752	4588	1505
753	4593	1498
754	4597	1492
755	4603	1485
756	4607	1479
757	4612	1472
758	4617	1466
759	4622	1459
760	4627	1453
761	4632	1447
762	4638	1440
763	4644	1434
764	4648	1427
765	4653	1421
766	4657	1414
767	4661	1408
768	4667	1401
769	4671	1395
770	4676	1389
771	4681	1382
772	4686	1376
773	4691	1369
774	4695	1363
775	4701	1357
776	4706	1350
777	4711	1344
778	4717	1338
779	4722	1331
780	4727	1325
781	4734	1319
782	4738	1313
783	4743	1306
784	4749	1300
785	4754	1294
786	4759	1288
787	4766	1282
788	4770	1275
789	4776	1269
790	4781	1263
791	4785	1256
792	4791	1250
793	4797	1244
794	4802	1238
795	4808	1232
796	4814	1226
797	4819	1219
798	4824	1213
799	4831	1207
800	4836	1201
801	4842	1195
802	4848	1189
803	4854	1183
804	4859	1177
805	4865	1171
806	4870	1164
807	4876	1158
808	4882	1152
809	4887	1146
810	4891	1140
811	4897	1133
812	4903	1127
813	4908	1121
814	4914	1115
815	4920	1109
816	4927	1103
817	4931	1097
818	4937	1091
819	4943	1085
820	4948	1078
821	4953	1072
822	4958	1066
823	4963	1060
824	4968	1053
825	4975	1048
826	4979	1041
827	4985	1035
828	4990	1029
829	4995	1023
830	5000	1017
831	5005	1010
832	5010	1004
833	5016	998
834	5022	992
835	5026	986
836	5031	979
837	5035	973
838	5041	967
839	5045	961
840	5051	955
841	5057	948
842	5062	942
843	5067	936
844	5073	930
845	5078	924
846	5083	918
847	5089	912
848	5094	906
849	5098	899
850	5104	893
851	5110	887
852	5115	881
853	5122	875
854	5127	869
855	5132	863
856	5138	857
857	5143	851
858	5149	845
859	5154	839
860	5158	832
861	5163	826
862	5170	820
863	5174	814
864	5180	808
865	5186	802
866	5191	796
867	5197	790
868	5204	784
869	5210	778
870	5215	772
871	5221	766
872	5227	760
873	5232	754
874	5238	748
875	5244	742
876	5250	736
877	5254	730
878	5260	724
879	5268	718
880	5274	712
881	5279	706
882	5284	700
883	5289	694
884	5295	688
885	5301	682
886	5306	676
887	5312	670
888	5318	664
889	5322	657
890	5327	651
891	5334	645
892	5339	639
893	5344	633
894	5350	627
895	5356	621
896	5362	615
897	5367	609
898	5373	603
899	5377	597
900	5383	591
901	5388	585
902	5393	579
903	5399	573
904	5405	567
905	5410	561
906	5414	555
907	5419	549
908	5423	542
909	5429	536
910	5433	530
911	5438	524
912	5443	518
913	5448	512
914	5452	506
915	5457	500
916	5462	494
917	5467	488
918	5472	482
919	5477	476
920	5482	470
921	5486	464
922	5491	458
923	5497	452
924	5502	446
925	5506	440
926	5512	434
927	5517	428
928	5521	422
929	5527	416
930	5532	410
931	5539	404
932	5544	398
933	5548	392
934	5554	386
935	5561	380
936	5567	374
937	5575	368
938	5580	362
939	5588	356
940	5597	350
941	5606	345
942	5615	339
943	5624	333
944	5631	327
945	5639	321
946	5646	315
947	5654	310
948	5662	304
949	5668	298
950	5675	292
951	5680	286
952	5690	280
953	5698	274
954	5708	268
955	5715	263
956	5724	257
957	5731	251
958	5744	245
959	5750	239
960	5758	233
961	5764	227
962	5772	221
963	5780	215
964	5788	209
965	5795	203
966	5802	198
967	5810	192
968	5820	186
969	5826	180
970	5831	174
971	5894	169
972	5905	163
973	5914	157
974	5921	151
975	5929	145
976	5934	139
977	5940	133
978	5960	127
979	5970	121
980	5977	115
981	5987	109
982	5993	103
983	6002	97
984	6009	91
985	6017	85
986	6023	79
987	6028	73
988	6034	67
989	6040	61
990	6045	54
991	6051	48
992	6058	42
993	6063	36
994	6067	30
995	6072	24
996	6077	18
997	6083	12
998	6089	6
999	6094	0
